run_id,group,model,dataset,input_len,output_len,tp,request_rate,max_concurrency,rep,num_prompts,seed,instr
A1a_rep1,A1a,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,1,200,1,on
A1a_rep2,A1a,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,2,200,2,on
A1a_rep3,A1a,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,3,200,3,on
C1off_rep1,C1off,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,1,200,1,off
C1off_rep2,C1off,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,2,200,2,off
C1off_rep3,C1off,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,3,200,3,off
S1_r1_rep1,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,1,,1,200,1,on
S1_r1_rep2,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,1,,2,200,2,on
S1_r1_rep3,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,1,,3,200,3,on
S1_r2_rep1,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,2,,1,200,1,on
S1_r2_rep2,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,2,,2,200,2,on
S1_r2_rep3,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,2,,3,200,3,on
S1_r3_rep1,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,3,,1,200,1,on
S1_r3_rep2,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,3,,2,200,2,on
S1_r3_rep3,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,3,,3,200,3,on
S1_r4_rep1,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,4,,1,200,1,on
S1_r4_rep2,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,4,,2,200,2,on
S1_r4_rep3,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,4,,3,200,3,on
S1_r5_rep1,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,1,200,1,on
S1_r5_rep2,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,2,200,2,on
S1_r5_rep3,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,5,,3,200,3,on
S1_r6_rep1,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,6,,1,200,1,on
S1_r6_rep2,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,6,,2,200,2,on
S1_r6_rep3,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,6,,3,200,3,on
S1_r8_rep1,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,8,,1,200,1,on
S1_r8_rep2,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,8,,2,200,2,on
S1_r8_rep3,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,8,,3,200,3,on
S1_rinf_rep1,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,,1,200,1,on
S1_rinf_rep2,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,,2,200,2,on
S1_rinf_rep3,S1,Qwen/Qwen2.5-7B-Instruct,sharegpt,,,1,inf,,3,200,3,on
S2_r1_rep1,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,1,,1,200,1,on
S2_r1_rep2,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,1,,2,200,2,on
S2_r1_rep3,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,1,,3,200,3,on
S2_r2_rep1,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,2,,1,200,1,on
S2_r2_rep2,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,2,,2,200,2,on
S2_r2_rep3,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,2,,3,200,3,on
S2_r3_rep1,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,3,,1,200,1,on
S2_r3_rep2,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,3,,2,200,2,on
S2_r3_rep3,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,3,,3,200,3,on
S2_r4_rep1,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,4,,1,200,1,on
S2_r4_rep2,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,4,,2,200,2,on
S2_r4_rep3,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,4,,3,200,3,on
S2_r5_rep1,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,5,,1,200,1,on
S2_r5_rep2,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,5,,2,200,2,on
S2_r5_rep3,S2,Qwen/Qwen2.5-7B-Instruct,random,256,128,1,5,,3,200,3,on
